"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date","doe"
1,"1.swimming",1,"1.Travelling","00:00:00.04","2014-11-01 07:08:43.00",1.03,-0.656,-0.564,0.7,"swimming","Travelling","water","surface","swimming",2014-11-01 07:08:43.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","00:00.0","2014-11-01 07:08:43.00",1.06,-0.568,-0.312,0.712,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","79948","2014-11-01 07:08:43.02",1.15,-0.44,-0.404,0.684,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.02,"28-10-14"
1,"1.swimming",1,"1.Travelling","79949","2014-11-01 07:08:43.13",1.18,-0.668,-0.288,0.388,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.13,"28-10-14"
1,"1.swimming",1,"1.Travelling","79950","2014-11-01 07:08:43.17",1.21,-0.728,-0.348,0.456,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.17,"28-10-14"
1,"1.swimming",1,"1.Travelling","79951","2014-11-01 07:08:43.21",1.28,-1.144,-0.58,0.748,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.21,"28-10-14"
1,"1.swimming",1,"1.Travelling","79952","2014-11-01 07:08:43.25",1.37,-1.288,-0.456,0.796,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.25,"28-10-14"
1,"1.swimming",1,"1.Travelling","79953","2014-11-01 07:08:43.25",1.46,-0.52,-0.264,1.22,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.25,"28-10-14"
1,"1.swimming",1,"1.Travelling","79954","2014-11-01 07:08:43.28",1.43,-0.02,-0.5,1.5,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.28,"28-10-14"
1,"1.swimming",1,"1.Travelling","79955","2014-11-01 07:08:43.38",1.4,0.256,-0.428,1.424,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.38,"28-10-14"
1,"1.swimming",1,"1.Travelling","79956","2014-11-01 07:08:43.42",1.43,-0.196,-0.52,1.16,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.42,"28-10-14"
1,"1.swimming",1,"1.Travelling","79957","2014-11-01 07:08:43.46",1.46,-0.752,-0.348,0.604,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.46,"28-10-14"
1,"1.swimming",1,"1.Travelling","79958","2014-11-01 07:08:43.50",1.46,-0.6,-0.784,0.524,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.50,"28-10-14"
1,"1.swimming",1,"1.Travelling","79959","2014-11-01 07:08:43.50",1.56,-0.416,-0.892,0.708,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.50,"28-10-14"
1,"1.swimming",1,"1.Travelling","79960","2014-11-01 07:08:43.53",1.59,-0.508,-0.8,0.352,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.53,"28-10-14"
1,"1.swimming",1,"1.Travelling","79961","2014-11-01 07:08:43.63",1.65,-0.472,-0.612,0.396,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.63,"28-10-14"
1,"1.swimming",1,"1.Travelling","79962","2014-11-01 07:08:43.67",1.68,-0.524,-0.788,0.744,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.67,"28-10-14"
1,"1.swimming",1,"1.Travelling","79963","2014-11-01 07:08:43.71",1.68,-0.608,-1.22,0.092,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.71,"28-10-14"
1,"1.swimming",1,"1.Travelling","79964","2014-11-01 07:08:43.75",1.68,-0.548,-1.008,0.12,"swimming","Travelling","water","surface","",2014-11-01 07:08:43.75,"28-10-14"
1,"1.swimming",1,"1.Travelling","79965","2014-11-01 07:08:43.75",1.71,-0.632,-0.816,0.2,"swimming","Travelling","water","underwater","",2014-11-01 07:08:43.75,"28-10-14"
1,"1.swimming",1,"1.Travelling","79966","2014-11-01 07:08:43.78",1.78,-0.864,-0.868,0.668,"swimming","Travelling","water","underwater","",2014-11-01 07:08:43.78,"28-10-14"
1,"1.swimming",1,"1.Travelling","79967","2014-11-01 07:08:43.88",1.81,-0.864,-0.964,0.512,"swimming","Travelling","water","underwater","",2014-11-01 07:08:43.88,"28-10-14"
1,"1.swimming",1,"1.Travelling","79968","2014-11-01 07:08:43.92",1.84,-0.544,-0.724,1.016,"swimming","Travelling","water","underwater","",2014-11-01 07:08:43.92,"28-10-14"
1,"1.swimming",1,"1.Travelling","79969","2014-11-01 07:08:43.97",1.84,0.024,-0.84,0.96,"swimming","Travelling","water","underwater","",2014-11-01 07:08:43.97,"28-10-14"
1,"1.swimming",1,"1.Travelling","79970","2014-11-01 07:08:44.00",1.84,0.24,-1.096,1.048,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","79971","2014-11-01 07:08:44.00",1.84,0.172,-1.256,0.72,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","79972","2014-11-01 07:08:44.03",1.81,-0.208,-1.116,0.468,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.03,"28-10-14"
1,"1.swimming",1,"1.Travelling","79973","2014-11-01 07:08:44.13",1.84,-0.284,-1.068,0.408,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.13,"28-10-14"
1,"1.swimming",1,"1.Travelling","79974","2014-11-01 07:08:44.18",1.84,-0.372,-1.204,0.364,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.18,"28-10-14"
1,"1.swimming",1,"1.Travelling","79975","2014-11-01 07:08:44.22",1.87,-0.24,-0.988,0.596,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.22,"28-10-14"
1,"1.swimming",1,"1.Travelling","79976","2014-11-01 07:08:44.25",1.87,-0.364,-0.832,0.544,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.25,"28-10-14"
1,"1.swimming",1,"1.Travelling","79977","2014-11-01 07:08:44.25",1.87,-0.48,-0.956,0.216,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.25,"28-10-14"
1,"1.swimming",1,"1.Travelling","79978","2014-11-01 07:08:44.28",1.87,-0.508,-0.976,0.152,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.28,"28-10-14"
1,"1.swimming",1,"1.Travelling","79979","2014-11-01 07:08:44.39",1.87,-0.396,-1.2,0.2,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.39,"28-10-14"
1,"1.swimming",1,"1.Travelling","79980","2014-11-01 07:08:44.43",1.87,-0.296,-0.968,0.404,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.43,"28-10-14"
1,"1.swimming",1,"1.Travelling","79981","2014-11-01 07:08:44.47",1.87,-0.284,-0.96,0.2,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.47,"28-10-14"
1,"1.swimming",1,"1.Travelling","79982","2014-11-01 07:08:44.50",1.84,-0.32,-1.056,0.34,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.50,"28-10-14"
1,"1.swimming",1,"1.Travelling","79983","2014-11-01 07:08:44.50",1.84,-0.38,-1.1,0.336,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.50,"28-10-14"
1,"1.swimming",1,"1.Travelling","79984","2014-11-01 07:08:44.54",1.84,-0.34,-1.064,0.376,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.54,"28-10-14"
1,"1.swimming",1,"1.Travelling","79985","2014-11-01 07:08:44.64",1.84,-0.32,-1.052,0.412,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.64,"28-10-14"
1,"1.swimming",1,"1.Travelling","79986","2014-11-01 07:08:44.68",1.84,-0.232,-0.964,0.468,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.68,"28-10-14"
1,"1.swimming",1,"1.Travelling","79987","2014-11-01 07:08:44.72",1.84,-0.204,-1,0.464,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.72,"28-10-14"
1,"1.swimming",1,"1.Travelling","79988","2014-11-01 07:08:44.75",1.84,-0.172,-0.912,0.556,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.75,"28-10-14"
1,"1.swimming",1,"1.Travelling","79989","2014-11-01 07:08:44.75",1.81,-0.14,-0.772,0.62,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.75,"28-10-14"
1,"1.swimming",1,"1.Travelling","79990","2014-11-01 07:08:44.79",1.81,-0.128,-0.904,0.564,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.79,"28-10-14"
1,"1.swimming",1,"1.Travelling","79991","2014-11-01 07:08:44.89",1.78,-0.12,-0.816,0.632,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.89,"28-10-14"
1,"1.swimming",1,"1.Travelling","79992","2014-11-01 07:08:44.93",1.78,-0.14,-0.904,0.548,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.93,"28-10-14"
1,"1.swimming",1,"1.Travelling","79993","2014-11-01 07:08:44.97",1.75,-0.12,-0.852,0.532,"swimming","Travelling","water","underwater","",2014-11-01 07:08:44.97,"28-10-14"
1,"1.swimming",1,"1.Travelling","79994","2014-11-01 07:08:45.00",1.78,-0.072,-0.888,0.62,"swimming","Travelling","water","underwater","",2014-11-01 07:08:45.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","79995","2014-11-01 07:08:45.00",1.71,-0.052,-0.804,0.604,"swimming","Travelling","water","underwater","",2014-11-01 07:08:45.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","79996","2014-11-01 07:08:45.04",1.71,-0.072,-0.752,0.616,"swimming","Travelling","water","underwater","",2014-11-01 07:08:45.04,"28-10-14"
1,"1.swimming",1,"1.Travelling","79997","2014-11-01 07:08:45.14",1.71,-0.112,-0.8,0.644,"swimming","Travelling","water","underwater","",2014-11-01 07:08:45.14,"28-10-14"
1,"1.swimming",1,"1.Travelling","79998","2014-11-01 07:08:45.18",1.71,-0.08,-0.764,0.696,"swimming","Travelling","water","underwater","",2014-11-01 07:08:45.18,"28-10-14"
1,"1.swimming",1,"1.Travelling","79999","2014-11-01 07:08:45.23",1.68,-0.092,-0.796,0.676,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.23,"28-10-14"
1,"1.swimming",1,"1.Travelling","80000","2014-11-01 07:08:45.25",1.68,-0.096,-0.752,0.688,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.25,"28-10-14"
1,"1.swimming",1,"1.Travelling","80001","2014-11-01 07:08:45.25",1.65,-0.088,-0.82,0.576,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.25,"28-10-14"
1,"1.swimming",1,"1.Travelling","80002","2014-11-01 07:08:45.29",1.65,-0.072,-0.84,0.548,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.29,"28-10-14"
1,"1.swimming",1,"1.Travelling","80003","2014-11-01 07:08:45.39",1.65,-0.068,-0.752,0.564,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.39,"28-10-14"
1,"1.swimming",1,"1.Travelling","80004","2014-11-01 07:08:45.44",1.62,-0.048,-0.768,0.528,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.44,"28-10-14"
1,"1.swimming",1,"1.Travelling","80005","2014-11-01 07:08:45.48",1.62,-0.18,-0.828,0.52,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.48,"28-10-14"
1,"1.swimming",1,"1.Travelling","80006","2014-11-01 07:08:45.50",1.62,-0.164,-1,0.532,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.50,"28-10-14"
1,"1.swimming",1,"1.Travelling","80007","2014-11-01 07:08:45.50",1.62,-0.456,-0.872,0.568,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.50,"28-10-14"
1,"1.swimming",1,"1.Travelling","80008","2014-11-01 07:08:45.54",1.59,-0.536,-0.76,0.516,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.54,"28-10-14"
1,"1.swimming",1,"1.Travelling","80009","2014-11-01 07:08:45.65",1.59,-0.656,-0.748,0.432,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.65,"28-10-14"
1,"1.swimming",1,"1.Travelling","80010","2014-11-01 07:08:45.69",1.59,-0.484,-0.872,0.368,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.69,"28-10-14"
1,"1.swimming",1,"1.Travelling","80011","2014-11-01 07:08:45.73",1.62,-0.508,-0.824,0.572,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.73,"28-10-14"
1,"1.swimming",1,"1.Travelling","80012","2014-11-01 07:08:45.75",1.59,-0.604,-0.94,0.512,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.75,"28-10-14"
1,"1.swimming",1,"1.Travelling","80013","2014-11-01 07:08:45.75",1.59,-0.284,-0.712,0.456,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.75,"28-10-14"
1,"1.swimming",1,"1.Travelling","80014","2014-11-01 07:08:45.80",1.62,-0.228,-0.668,0.688,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.80,"28-10-14"
1,"1.swimming",1,"1.Travelling","80015","2014-11-01 07:08:45.90",1.62,-0.34,-0.7,0.8,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.90,"28-10-14"
1,"1.swimming",1,"1.Travelling","80016","2014-11-01 07:08:45.94",1.68,-0.236,-0.588,1.024,"swimming","Travelling","water","surface","",2014-11-01 07:08:45.94,"28-10-14"
1,"1.swimming",1,"1.Travelling","80017","2014-11-01 07:08:45.98",1.71,-0.156,-0.516,1.212,"swimming","Travelling","water","underwater","",2014-11-01 07:08:45.98,"28-10-14"
1,"1.swimming",1,"1.Travelling","80018","2014-11-01 07:08:46.00",1.75,-0.068,-0.408,1.216,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","80019","2014-11-01 07:08:46.01",1.68,0.248,-0.46,0.928,"swimming","Travelling","water","surface","",2014-11-01 07:08:46.01,"28-10-14"
1,"1.swimming",1,"1.Travelling","80020","2014-11-01 07:08:46.05",1.65,0.156,-0.64,1.052,"swimming","Travelling","water","surface","",2014-11-01 07:08:46.05,"28-10-14"
1,"1.swimming",1,"1.Travelling","80021","2014-11-01 07:08:46.15",1.68,0.012,-0.916,0.82,"swimming","Travelling","water","surface","",2014-11-01 07:08:46.15,"28-10-14"
1,"1.swimming",1,"1.Travelling","80022","2014-11-01 07:08:46.19",1.78,-0.184,-0.636,0.648,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.19,"28-10-14"
1,"1.swimming",1,"1.Travelling","80023","2014-11-01 07:08:46.23",1.78,-0.252,-0.696,0.34,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.23,"28-10-14"
1,"1.swimming",1,"1.Travelling","80024","2014-11-01 07:08:46.25",1.84,0.02,-0.892,0.592,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.25,"28-10-14"
1,"1.swimming",1,"1.Travelling","80025","2014-11-01 07:08:46.26",1.84,-0.376,-0.972,0.464,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.26,"28-10-14"
1,"1.swimming",1,"1.Travelling","80026","2014-11-01 07:08:46.30",1.87,-0.44,-0.904,0.46,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.30,"28-10-14"
1,"1.swimming",1,"1.Travelling","80027","2014-11-01 07:08:46.40",1.93,-0.4,-0.872,0.528,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.40,"28-10-14"
1,"1.swimming",1,"1.Travelling","80028","2014-11-01 07:08:46.44",2,-0.808,-1.048,0.6,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.44,"28-10-14"
1,"1.swimming",1,"1.Travelling","80029","2014-11-01 07:08:46.49",2.06,-0.572,-1.02,0.844,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.49,"28-10-14"
1,"1.swimming",1,"1.Travelling","80030","2014-11-01 07:08:46.50",2.12,-0.248,-0.96,1.128,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.50,"28-10-14"
1,"1.swimming",1,"1.Travelling","80031","2014-11-01 07:08:46.51",2.15,-0.08,-0.524,1.376,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.51,"28-10-14"
1,"1.swimming",1,"1.Travelling","80032","2014-11-01 07:08:46.55",2.12,0.056,-0.664,1.28,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.55,"28-10-14"
1,"1.swimming",1,"1.Travelling","80033","2014-11-01 07:08:46.65",2.09,0.076,-0.832,1.16,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.65,"28-10-14"
1,"1.swimming",1,"1.Travelling","80034","2014-11-01 07:08:46.70",2.09,0.044,-0.772,1.004,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.70,"28-10-14"
1,"1.swimming",1,"1.Travelling","80035","2014-11-01 07:08:46.74",2.09,-0.316,-1.124,0.844,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.74,"28-10-14"
1,"1.swimming",1,"1.Travelling","80036","2014-11-01 07:08:46.75",2.09,-0.332,-1.116,0.668,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.75,"28-10-14"
1,"1.swimming",1,"1.Travelling","80037","2014-11-01 07:08:46.76",2.06,-0.336,-1.236,0.396,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.76,"28-10-14"
1,"1.swimming",1,"1.Travelling","80038","2014-11-01 07:08:46.80",2.12,-0.34,-0.832,0.744,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.80,"28-10-14"
1,"1.swimming",1,"1.Travelling","80039","2014-11-01 07:08:46.91",2.09,-0.392,-0.824,0.288,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.91,"28-10-14"
1,"1.swimming",1,"1.Travelling","80040","2014-11-01 07:08:46.95",2.09,-0.34,-0.672,0.324,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.95,"28-10-14"
1,"1.swimming",1,"1.Travelling","80041","2014-11-01 07:08:46.99",2.09,-0.348,-0.804,0.556,"swimming","Travelling","water","underwater","",2014-11-01 07:08:46.99,"28-10-14"
1,"1.swimming",1,"1.Travelling","80042","2014-11-01 07:08:47.00",2.09,-0.336,-0.824,0.468,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","80043","2014-11-01 07:08:47.01",2.15,-0.372,-0.9,0.736,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.01,"28-10-14"
1,"1.swimming",1,"1.Travelling","80044","2014-11-01 07:08:47.06",2.15,-0.624,-0.828,0.584,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.06,"28-10-14"
1,"1.swimming",1,"1.Travelling","80045","2014-11-01 07:08:47.16",2.21,-0.272,-0.184,0.832,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.16,"28-10-14"
1,"1.swimming",1,"1.Travelling","80046","2014-11-01 07:08:47.20",2.18,-0.02,0.028,1.156,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.20,"28-10-14"
1,"1.swimming",1,"1.Travelling","80047","2014-11-01 07:08:47.24",2.18,-0.248,-0.604,0.704,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.24,"28-10-14"
1,"1.swimming",1,"1.Travelling","80048","2014-11-01 07:08:47.25",2.15,-0.16,-0.728,0.68,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.25,"28-10-14"
1,"1.swimming",1,"1.Travelling","80049","2014-11-01 07:08:47.27",2.12,-0.216,-0.8,0.588,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.27,"28-10-14"
1,"1.swimming",1,"1.Travelling","80050","2014-11-01 07:08:47.31",2.12,-0.344,-0.676,0.54,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.31,"28-10-14"
1,"1.swimming",1,"1.Travelling","80051","2014-11-01 07:08:47.41",2.12,-0.392,-0.584,0.74,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.41,"28-10-14"
1,"1.swimming",1,"1.Travelling","80052","2014-11-01 07:08:47.45",2.15,-0.464,-0.688,0.776,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.45,"28-10-14"
1,"1.swimming",1,"1.Travelling","80053","2014-11-01 07:08:47.49",2.12,-0.468,-0.58,0.676,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.49,"28-10-14"
1,"1.swimming",1,"1.Travelling","80054","2014-11-01 07:08:47.50",2.12,-0.4,-0.732,0.58,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.50,"28-10-14"
1,"1.swimming",1,"1.Travelling","80055","2014-11-01 07:08:47.52",2.12,-0.324,-0.536,0.668,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.52,"28-10-14"
1,"1.swimming",1,"1.Travelling","80056","2014-11-01 07:08:47.56",2.12,-0.276,-0.588,0.564,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.56,"28-10-14"
1,"1.swimming",1,"1.Travelling","80057","2014-11-01 07:08:47.66",2.12,-0.26,-0.604,0.548,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.66,"28-10-14"
1,"1.swimming",1,"1.Travelling","80058","2014-11-01 07:08:47.70",2.15,-0.296,-0.62,0.696,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.70,"28-10-14"
1,"1.swimming",1,"1.Travelling","80059","2014-11-01 07:08:47.75",2.15,-0.508,-0.428,0.884,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.75,"28-10-14"
1,"1.swimming",1,"1.Travelling","80060","2014-11-01 07:08:47.75",2.18,-0.316,-0.512,0.948,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.75,"28-10-14"
1,"1.swimming",1,"1.Travelling","80061","2014-11-01 07:08:47.77",2.21,-0.112,-0.32,1.18,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.77,"28-10-14"
1,"1.swimming",1,"1.Travelling","80062","2014-11-01 07:08:47.81",2.21,-0.08,-0.04,1.016,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.81,"28-10-14"
1,"1.swimming",1,"1.Travelling","80063","2014-11-01 07:08:47.91",2.18,-0.2,0.148,0.916,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.91,"28-10-14"
1,"1.swimming",1,"1.Travelling","80064","2014-11-01 07:08:47.96",2.18,-0.388,-0.18,0.748,"swimming","Travelling","water","underwater","",2014-11-01 07:08:47.96,"28-10-14"
1,"1.swimming",1,"1.Travelling","80065","2014-11-01 07:08:48.00",2.15,-0.592,-0.32,0.756,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","80066","2014-11-01 07:08:48.00",2.15,-0.516,-0.212,0.8,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","80067","2014-11-01 07:08:48.02",2.15,-0.44,-0.112,0.972,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.02,"28-10-14"
1,"1.swimming",1,"1.Travelling","80068","2014-11-01 07:08:48.06",2.15,-0.356,-0.084,0.964,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.06,"28-10-14"
1,"1.swimming",1,"1.Travelling","80069","2014-11-01 07:08:48.17",2.15,-0.36,-0.156,0.936,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.17,"28-10-14"
1,"1.swimming",1,"1.Travelling","80070","2014-11-01 07:08:48.21",2.15,-0.308,-0.12,0.888,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.21,"28-10-14"
1,"1.swimming",1,"1.Travelling","80071","2014-11-01 07:08:48.25",2.15,-0.304,-0.008,0.96,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.25,"28-10-14"
1,"1.swimming",1,"1.Travelling","80072","2014-11-01 07:08:48.25",2.15,-0.336,-0.064,0.828,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.25,"28-10-14"
1,"1.swimming",1,"1.Travelling","80073","2014-11-01 07:08:48.27",2.18,-0.304,-0.08,0.812,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.27,"28-10-14"
1,"1.swimming",1,"1.Travelling","80074","2014-11-01 07:08:48.38",2.15,-0.3,-0.144,0.892,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.38,"28-10-14"
1,"1.swimming",1,"1.Travelling","80075","2014-11-01 07:08:48.42",2.15,-0.24,-0.18,0.936,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.42,"28-10-14"
1,"1.swimming",1,"1.Travelling","80076","2014-11-01 07:08:48.46",2.15,-0.26,-0.136,0.828,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.46,"28-10-14"
1,"1.swimming",1,"1.Travelling","80077","2014-11-01 07:08:48.50",2.15,-0.308,-0.12,0.904,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.50,"28-10-14"
1,"1.swimming",1,"1.Travelling","80078","2014-11-01 07:08:48.50",2.15,-0.28,-0.136,0.924,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.50,"28-10-14"
1,"1.swimming",1,"1.Travelling","80079","2014-11-01 07:08:48.53",2.15,-0.264,-0.012,0.988,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.53,"28-10-14"
1,"1.swimming",1,"1.Travelling","80080","2014-11-01 07:08:48.63",2.15,-0.24,0,1.008,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.63,"28-10-14"
1,"1.swimming",1,"1.Travelling","80081","2014-11-01 07:08:48.67",2.15,-0.212,0.064,1.02,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.67,"28-10-14"
1,"1.swimming",1,"1.Travelling","80082","2014-11-01 07:08:48.71",2.15,-0.224,0.012,0.956,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.71,"28-10-14"
1,"1.swimming",1,"1.Travelling","80083","2014-11-01 07:08:48.75",2.15,-0.124,-0.012,0.9,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.75,"28-10-14"
1,"1.swimming",1,"1.Travelling","80084","2014-11-01 07:08:48.75",2.15,-0.188,-0.004,0.908,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.75,"28-10-14"
1,"1.swimming",1,"1.Travelling","80085","2014-11-01 07:08:48.78",2.12,-0.244,0.056,0.888,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.78,"28-10-14"
1,"1.swimming",1,"1.Travelling","80086","2014-11-01 07:08:48.88",2.12,-0.264,0.04,0.98,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.88,"28-10-14"
1,"1.swimming",1,"1.Travelling","80087","2014-11-01 07:08:48.92",2.15,-0.196,0.112,1.084,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.92,"28-10-14"
1,"1.swimming",1,"1.Travelling","80088","2014-11-01 07:08:48.96",2.12,-0.156,0.184,1.184,"swimming","Travelling","water","underwater","",2014-11-01 07:08:48.96,"28-10-14"
1,"1.swimming",1,"1.Travelling","80089","2014-11-01 07:08:49.00",2.12,-0.124,0.088,1.136,"swimming","Travelling","water","underwater","",2014-11-01 07:08:49.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","80090","2014-11-01 07:08:49.00",2.09,-0.06,0.06,1.176,"swimming","Travelling","water","underwater","",2014-11-01 07:08:49.00,"28-10-14"
1,"1.swimming",1,"1.Travelling","80091","2014-11-01 07:08:49.03",2.09,-0.008,-0.028,1.208,"swimming","Travelling","water","underwater","",2014-11-01 07:08:49.03,"28-10-14"
1,"1.swimming",1,"1.Travelling","80092","2014-11-01 07:08:49.13",2.06,0.004,-0.204,1.236,"swimming","Travelling","water","underwater","",2014-11-01 07:08:49.13,"28-10-14"
